text,category
Bus breakdown on the way,Transport
Cracked wall in classroom during peak hours,Infrastructure
Air circulation is poor since yesterday,Infrastructure
Urgent: menu prices not displayed,Canteen
Lack of green spaces on campus since yesterday,Other
No quiet zones in library in Block C,Other
Wrong marks updated in portal in Block C,Exams / Results
Bus stop changed without notice,Transport
Wrong marks updated in portal during peak hours,Exams / Results
Need more study space since yesterday,Other
ID card not issued since yesterday,Fees / Admin
Lights are not working in corridor during peak hours,Infrastructure
Exam center changed suddenly,Exams / Results
Bus did not come today in Block C,Transport
No proper announcement system during peak hours,Other
Seating arrangement confusion,Exams / Results
Power cut in hostel since morning in Block C,Hostel
Security is not available in block B in Block C,Ragging / Safety
Urgent: feeling unsafe in hostel at night,Ragging / Safety
Fan is not working in class during peak hours,Infrastructure
Answer scripts not uploaded,Exams / Results
Duplicate fee charged in Block C,Fees / Admin
Urgent: canteen food quality is bad,Canteen
Ragging happening near canteen,Ragging / Safety
Urgent: bullying in college campus,Ragging / Safety
Mosquito problem in hostel room since yesterday,Hostel
Unfair internal marks given since yesterday,Faculty / Academics
Course outcomes not explained during peak hours,Faculty / Academics
Hostel common area is unhygienic,Hostel
Need more water coolers,Other
Teaching quality is poor in Block C,Faculty / Academics
Urgent: need alumni mentorship programs,Other
Urgent: unfair internal marks given,Faculty / Academics
Urgent: bus stop changed without notice,Transport
Answer scripts not uploaded since yesterday,Exams / Results
Unauthorized people entering campus during peak hours,Ragging / Safety
Bus did not come today,Transport
Result correction request pending during peak hours,Exams / Results
WiFi is not working in the lab during peak hours,IT / WiFi
Bonafide certificate delayed,Fees / Admin
Bus did not come today during peak hours,Transport
Hall ticket not generated since yesterday,Exams / Results
Sports equipment is damaged during peak hours,Other
Faculty is absent frequently,Faculty / Academics
Library closing too early since yesterday,Other
Urgent: menu prices not displayed,Canteen
Hostel common area is unhygienic in Block C,Hostel
Drinking water cooler not working in hostel in Block C,Hostel
Name correction request pending during peak hours,Fees / Admin
Network issue in library in Block C,IT / WiFi
Food is overpriced in canteen during peak hours,Canteen
Late announcement of exam changes,Exams / Results
Library closing too early since yesterday,Other
Teacher is not explaining properly,Faculty / Academics
No CCTV in corridor since yesterday,Ragging / Safety
College website is not opening,IT / WiFi
Need more charging points during peak hours,Other
No quiet zones in library during peak hours,Other
Urgent: college website is not opening,IT / WiFi
Poor lighting in parking area since yesterday,Ragging / Safety
Urgent: syllabus not completed on time,Faculty / Academics
Urgent: id card not issued,Fees / Admin
Urgent: need more clubs and activities,Other
Urgent: teacher is not explaining properly,Faculty / Academics
Unfair internal marks given in Block C,Faculty / Academics
Canteen is overcrowded in Block C,Canteen
Urgent: portal shows error while uploading,IT / WiFi
No escort service at night since yesterday,Ragging / Safety
Urgent: classroom is too hot,Infrastructure
Room light is flickering in hostel during peak hours,Hostel
Urgent: room fan is not working in hostel,Hostel
Internet speed is very slow during peak hours,IT / WiFi
Urgent: bus did not come today,Transport
Urgent: course outcomes not explained,Faculty / Academics
