text,priority,sentiment
Faculty is not responding to doubts since yesterday,Medium,Frustrated
Faculty is not responding to doubts in Block C,Medium,Frustrated
Library seating is insufficient,Low,Frustrated
Urgent: classroom fan makes noise,Low,Calm
Exam hall arrangements very poor in Block C,High,Frustrated
Library closes slightly early in Block C,Low,Calm
Bonafide certificate request pending,Medium,Calm
Urgent: faculty missing classes frequently,High,Frustrated
WiFi is a bit slow but okay in Block C,Low,Calm
WiFi is a bit slow but okay multiple times reported,Low,Calm
Bus is late again and it's annoying in Block C,Medium,Frustrated
Library seating is insufficient multiple times reported,Low,Frustrated
Canteen prices are high and irritating in Block C,Low,Frustrated
Canteen food could be better multiple times reported,Low,Calm
Canteen food could be better,Low,Calm
Canteen prices are high and irritating multiple times reported,Low,Frustrated
WiFi completely down and nobody responds multiple times reported,High,Angry
Bus timing is manageable,Low,Calm
Bus overcrowding causing problems,High,Frustrated
WiFi completely down and nobody responds multiple times reported,High,Angry
Fees portal keeps failing since yesterday,Medium,Frustrated
Urgent: projector not working in seminar hall,Medium,Calm
Urgent: projector not working in seminar hall,Medium,Calm
Urgent: bus did not come and students are stranded,High,Angry
Parking space is poorly managed in Block C,Low,Frustrated
Library closes slightly early since yesterday,Low,Calm
Ragging happening and no action taken in Block C,High,Angry
Hostel water issue happening repeatedly multiple times reported,High,Frustrated
Classroom fan makes noise since yesterday,Low,Calm
Bus did not come and students are stranded in Block C,High,Angry
Internal marks not showing in portal in Block C,Medium,Calm
WiFi completely down and nobody responds since yesterday,High,Angry
Bonafide certificate request pending multiple times reported,Medium,Calm
Canteen food could be better in Block C,Low,Calm
Faculty is not responding to doubts since yesterday,Medium,Frustrated
Bus did not come and students are stranded in Block C,High,Angry
Library seating is insufficient multiple times reported,Low,Frustrated
Water leakage in lab since yesterday,Medium,Calm
Library closes slightly early since yesterday,Low,Calm
Bus overcrowding causing problems since yesterday,High,Frustrated
Bonafide certificate request pending,Medium,Calm
Faculty is not responding to doubts multiple times reported,Medium,Frustrated
Canteen prices are high and irritating since yesterday,Low,Frustrated
Faculty is not responding to doubts multiple times reported,Medium,Frustrated
WiFi completely down and nobody responds multiple times reported,High,Angry
Urgent: wifi is a bit slow but okay,Low,Calm
Urgent: bus did not come and students are stranded,High,Angry
Fees portal keeps failing since yesterday,Medium,Frustrated
Urgent: wifi is slow and affecting studies,Medium,Frustrated
Bus did not come and students are stranded in Block C,High,Angry
Urgent: bus did not come and students are stranded,High,Angry
Bonafide certificate request pending in Block C,Medium,Calm
WiFi is a bit slow but okay in Block C,Low,Calm
Bus overcrowding causing problems multiple times reported,High,Frustrated
Ragging happening and no action taken,High,Angry
Exam timetable is confusing multiple times reported,Medium,Frustrated
Urgent: library seating is insufficient,Low,Frustrated
Safety issue reported multiple times ignored since yesterday,High,Angry
Bus is late again and it's annoying multiple times reported,Medium,Frustrated
Bus timing is manageable since yesterday,Low,Calm
Bonafide certificate request pending in Block C,Medium,Calm
Fees portal keeps failing since yesterday,Medium,Frustrated
IT issues disrupting submissions multiple times reported,High,Frustrated
